id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
47,tt0075989,2016-11-25,2016-11-25,,Empire of the Ants,https://www.imdb.com/title/tt0075989/,movie,4.2,89,1977,"Adventure, Horror, Sci-Fi",5075,1977-07-29,Bert I. Gordon
48,tt1705773,2016-11-25,2016-11-25,,Mega Shark vs. Crocosaurus,https://www.imdb.com/title/tt1705773/,video,2.4,88,2010,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",5491,2010-11-04,Christopher Ray
49,tt1716753,2016-11-25,2016-11-25,,Monster Brawl,https://www.imdb.com/title/tt1716753/,movie,3.6,89,2011,"Action, Comedy, Horror, Sport",2503,2011-07-23,Jesse Thomas Cook
50,tt0092085,2016-11-25,2016-11-25,,Thrashin',https://www.imdb.com/title/tt0092085/,movie,6.5,93,1986,"Action, Drama, Romance",4721,1986-08-29,David Winters
51,tt0082700,2016-11-25,2016-11-25,,Cannibal ferox,https://www.imdb.com/title/tt0082700/,movie,5.1,93,1981,"Adventure, Horror",10266,1981-04-24,Umberto Lenzi
52,tt0082748,2016-11-25,2016-11-25,,Mil gritos tiene la noche,https://www.imdb.com/title/tt0082748/,movie,6.0,85,1982,"Horror, Mystery, Thriller",11568,1982-08-23,Juan Piquer Simón
53,tt0190865,2016-11-25,2016-11-25,,Vertical Limit,https://www.imdb.com/title/tt0190865/,movie,5.9,124,2000,"Action, Adventure, Drama, Thriller",62934,2000-12-03,Martin Campbell
54,tt3923662,2016-11-25,2016-11-25,,The Rezort,https://www.imdb.com/title/tt3923662/,movie,5.3,91,2015,"Horror, Sci-Fi, Thriller",9588,2015-06-22,Steve Barker
55,tt0059474,2016-11-25,2016-11-25,,Motorpsycho!,https://www.imdb.com/title/tt0059474/,movie,5.9,74,1965,"Action, Thriller",1557,1965-08-12,Russ Meyer
56,tt0071413,2016-11-25,2016-11-25,,Peopletoys,https://www.imdb.com/title/tt0071413/,movie,5.0,88,1974,Horror,1776,1974-05-31,"David Sheldon, Sean MacGregor"
57,tt2082408,2016-11-25,2016-11-25,,Rage of the Yeti,https://www.imdb.com/title/tt2082408/,tvMovie,2.8,86,2011,Horror,863,2011-11-12,David Hewlett
58,tt1374989,2016-11-25,2016-11-25,,Pride and Prejudice and Zombies,https://www.imdb.com/title/tt1374989/,movie,5.8,108,2016,"Action, Comedy, Fantasy, Horror, Romance",57965,2016-01-21,Burr Steers
59,tt1663662,2016-11-25,2016-11-25,,Pacific Rim,https://www.imdb.com/title/tt1663662/,movie,6.9,131,2013,"Action, Adventure, Sci-Fi",509414,2013-07-01,Guillermo del Toro
60,tt0076457,2016-11-25,2016-11-25,,Night Terror,https://www.imdb.com/title/tt0076457/,tvMovie,6.0,73,1977,Thriller,702,1977-02-07,E.W. Swackhamer
61,tt1333125,2016-11-25,2016-11-25,,Movie 43,https://www.imdb.com/title/tt1333125/,movie,4.3,94,2013,Comedy,107738,2013-01-01,"Rusty Cundieff, Steven Brill, Patrik Forsberg, Bob Odenkirk, Peter Farrelly, James Duffy, James Gunn, Brett Ratner, Elizabeth Banks, Jonathan van Tulleken, Steve Carr, Will Graham, Griffin Dunne"
62,tt1428538,2016-11-25,2016-11-25,,Hansel & Gretel: Witch Hunters,https://www.imdb.com/title/tt1428538/,movie,6.1,88,2013,"Action, Fantasy, Horror",209904,2013-01-17,Tommy Wirkola
63,tt1817771,2016-11-25,2016-11-25,,Freaks of Nature,https://www.imdb.com/title/tt1817771/,movie,5.9,92,2015,"Comedy, Horror, Sci-Fi",12691,2015-10-30,Robbie Pickering
64,tt0120622,2016-11-25,2016-11-25,,Brácula. Condemor II,https://www.imdb.com/title/tt0120622/,movie,3.3,87,1997,"Comedy, Horror, Musical",473,1997-08-13,Álvaro Sáenz de Heredia
65,tt0362969,2016-11-25,2016-11-25,,Perros callejeros II,https://www.imdb.com/title/tt0362969/,movie,5.4,100,1979,"Action, Drama",315,1979-10-08,José Antonio de la Loma
66,tt0115563,2016-11-25,2016-11-25,,"Aquí llega Condemor, el pecador de la pradera",https://www.imdb.com/title/tt0115563/,movie,2.7,90,1996,"Comedy, Musical, Western",681,1996-06-27,Álvaro Sáenz de Heredia
67,tt0194283,2016-11-25,2016-11-25,,Pápa Piquillo,https://www.imdb.com/title/tt0194283/,movie,4.0,92,1998,"Comedy, Drama",197,,Álvaro Sáenz de Heredia
68,tt0081823,2016-11-25,2016-11-25,,Los últimos golpes de 'El Torete',https://www.imdb.com/title/tt0081823/,movie,4.9,96,1980,"Action, Comedy, Crime, Drama, Romance",208,1980-09-25,José Antonio de la Loma
69,tt0087904,2016-11-25,2016-11-25,,Perras callejeras,https://www.imdb.com/title/tt0087904/,movie,4.3,97,1985,Crime,109,1985-03-15,José Antonio de la Loma
